,,,,Type,,Date,,Num,,Item,,Item Description,,Account,,Class,,Rep,,Paid,,Pay Meth,,Aging,,Qty,,Amount,,Balance,,Avg Days to Pay,,Paid Date,,Pay Period,,Amount Paid
,,,,Invoice,,06/16/2025,,AS010653,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"38,000.00",,"38,000.00",,0.00,,,,,,0.00
,,,,Payment,,06/30/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-38,000.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,07/04/2025,,AS010688,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"47,800.00",,"47,800.00",,0.00,,,,,,0.00
,,,,Payment,,03/12/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-47,800.00",,0.00,,0.00,,,,,,0.00
,Total CK-CCTV Security System (pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,CK Electronics (pvt) ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,06/26/2024,,AS010191,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"9,800.00",,"9,800.00",,0.00,,,,,,0.00
,,,,Payment,,08/13/2024,,938357,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-9,800.00",,0.00,,0.00,,,,,,0.00
,Total CK Electronics (pvt) ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Clear Media Private Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Clear Media Private Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,CNMS Holdings (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,01/28/2026,,AS011031,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"93,220.00",,"93,220.00",,0.00,,,,,,0.00
,,,,Credit Memo,,02/03/2026,,AS00124,,,,,,Accounts Receivable,,,,,,Paid,,,,,,,,"-93,220.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,02/16/2026,,AS011064,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"23,600.00",,"23,600.00",,0.00,,,,,,0.00
,,,,Payment,,02/24/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-23,600.00",,0.00,,0.00,,,,,,0.00
,Total CNMS Holdings (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Colombo Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Colombo Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Computerage (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,08/09/2024,,AS010245,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"268,048.80",,"268,048.80",,0.00,,,,,,0.00
,,,,Invoice,,08/16/2024,,AS010249,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"23,600.00",,"291,648.80",,0.00,,,,,,0.00
,,,,Invoice,,08/21/2024,,AS010257,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"37,878.00",,"329,526.80",,0.00,,,,,,0.00
,,,,Invoice,,09/09/2024,,AS010273,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"18,939.00",,"348,465.80",,0.00,,,,,,0.00
,,,,Invoice,,10/15/2024,,AS010314,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"49,701.60",,"398,167.40",,0.00,,,,,,0.00
,,,,Payment,,11/06/2024,,247333,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-80,417.00",,"317,750.40",,0.00,,,,,,0.00
,,,,Payment,,01/29/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-32,800.00",,"284,950.40",,0.00,,,,,,0.00
,,,,Credit Memo,,02/15/2025,,AS00110,,,,,,Accounts Receivable,,Sal:RS,,,,Paid,,,,,,,,"-49,701.60",,"235,248.80",,0.00,,,,,,0.00
,,,,Payment,,04/08/2025,,247450,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-62,457.00",,"172,791.80",,0.00,,,,,,0.00
,,,,Credit Memo,,05/19/2025,,AS00111,,,,,,Accounts Receivable,,Sal:RS,,,,Paid,,,,,,,,"-166,474.40",,"6,317.40",,0.00,,,,,,0.00
,,,,Payment,,01/30/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-6,313.00",,4.40,,0.00,,,,,,0.00
,,,,Discount,,01/30/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,-4.40,,0.00,,0.00,,,,,,0.00
,Total Computerage (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Consolidated Business Systems Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Consolidated Business Systems Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Content Management & Solutions (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,10/21/2024,,AS010318,,,,,,Accounts Receivable,,Mnt,,AD,,Paid,,,,,,,,"220,660.00",,"220,660.00",,0.00,,,,,,0.00
,,,,Invoice,,10/25/2024,,AS010327,,,,,,Accounts Receivable,,Mnt,,AD,,Paid,,,,,,,,"179,832.00",,"400,492.00",,0.00,,,,,,0.00
,,,,Payment,,10/25/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-220,660.00",,"179,832.00",,0.00,,,,,,0.00
,,,,Payment,,11/18/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-179,832.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,12/03/2025,,AS010945,,,,,,Accounts Receivable,,Mnt,,AD,,Paid,,,,,,,,"225,380.00",,"225,380.00",,0.00,,,,,,0.00
,,,,Invoice,,12/03/2025,,AS010946,,,,,,Accounts Receivable,,Mnt,,AD,,Paid,,,,,,,,"193,520.00",,"418,900.00",,0.00,,,,,,0.00
,,,,Payment,,12/24/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-418,900.00",,0.00,,0.00,,,,,,0.00
,Total Content Management & Solutions (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Creattive Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,10/01/2024,,AS010297,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"113,280.00",,"113,280.00",,0.00,,,,,,0.00
,,,,Payment,,10/04/2024,,708921,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-113,280.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,10/07/2024,,AS010302,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"113,280.00",,"113,280.00",,0.00,,,,,,0.00
,,,,Payment,,11/11/2024,,708975,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-113,280.00",,0.00,,0.00,,,,,,0.00
,Total Creattive Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Cyan Digital Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Cyan Digital Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,D-TECH (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,08/29/2024,,AS010263,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"366,980.00",,"366,980.00",,0.00,,,,,,0.00
,,,,Payment,,10/09/2024,,551434,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-366,980.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,12/26/2024,,AS010410,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"424,564.00",,"424,564.00",,0.00,,,,,,0.00
,,,,Payment,,02/05/2025,,334326,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-424,564.00",,0.00,,0.00,,,,,,0.00
,Total D-TECH (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,D. Samson Industries (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,05/29/2025,,AS010626,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"11,800.00",,"11,800.00",,0.00,,,,,,0.00
,,,,Payment,,06/25/2025,,585607,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-11,800.00",,0.00,,0.00,,,,,,0.00
,Total D. Samson Industries (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,D.Samson Industries (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,08/07/2025,,AS010748,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"67,260.00",,"67,260.00",,0.00,,,,,,0.00
,,,,Payment,,10/10/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-67,260.00",,0.00,,0.00,,,,,,0.00
,Total D.Samson Industries (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Danushka Senadeera Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Danushka Senadeera Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Data E Net Computer Systems (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,02/19/2025,,AS010493,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"101,857.60",,"101,857.60",,0.00,,,,,,0.00
,,,,Payment,,09/04/2025,,000935,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-51,858.00",,"49,999.60",,0.00,,,,,,0.00
,,,,Payment,,09/04/2025,,000936,,,,,,Accounts Receivable,,,,,,Unpaid,,Check,,,,,,"-50,000.00",,-0.40,,0.00,,,,,,0.00
,Total Data E Net Computer Systems (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40,,-0.40,,0.00,,,,,,
,Data Management Systems (Pvt) Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"973,266.00",,,,,,,,
,,,,Payment,,01/03/2024,,026620,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-973,266.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,02/02/2024,,AS010039,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"4,100,500.00",,"4,100,500.00",,0.00,,,,,,0.00
,,,,Invoice,,02/12/2024,,AS010047,,,,,,Accounts Receivable,,Sal:RS,,SA,,Paid,,,,,,,,"985,300.00",,"5,085,800.00",,0.00,,,,,,0.00
,,,,Invoice,,02/12/2024,,AS010048,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"1,028,960.00",,"6,114,760.00",,0.00,,,,,,0.00
,,,,Invoice,,03/08/2024,,AS010070,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"767,944.00",,"6,882,704.00",,0.00,,,,,,0.00
,,,,Invoice,,03/08/2024,,AS010071,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"53,100.00",,"6,935,804.00",,0.00,,,,,,0.00
,,,,Payment,,03/18/2024,,026770,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-1,028,960.00",,"5,906,844.00",,0.00,,,,,,0.00
,,,,Payment,,03/18/2024,,026771,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-985,300.00",,"4,921,544.00",,0.00,,,,,,0.00
,,,,Payment,,04/03/2024,,026710,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-4,100,500.00",,"821,044.00",,0.00,,,,,,0.00
,,,,Payment,,04/03/2024,,026800,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-767,944.00",,"53,100.00",,0.00,,,,,,0.00
,,,,Payment,,04/03/2024,,026801,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-53,100.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,06/03/2024,,AS010156,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"782,340.00",,"782,340.00",,0.00,,,,,,0.00
,,,,Payment,,07/10/2024,,280040,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-782,340.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,08/05/2024,,AS010238,,,,,,Accounts Receivable,,Mnt,,A,,Paid,,,,,,,,"510,114.00",,"510,114.00",,0.00,,,,,,0.00
,,,,Payment,,09/10/2024,,280175,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-510,114.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,11/22/2024,,AS010362,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"673,072.00",,"673,072.00",,0.00,,,,,,0.00
,,,,Payment,,12/26/2024,,473627,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-673,072.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,01/28/2025,,AS010460,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"920,400.00",,"920,400.00",,0.00,,,,,,0.00
,,,,Invoice,,02/24/2025,,AS010498,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"340,503.75",,"1,260,903.75",,0.00,,,,,,0.00
,,,,Payment,,02/25/2025,,473779,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-920,400.00",,"340,503.75",,0.00,,,,,,0.00
,,,,Payment,,03/26/2025,,473831,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-340,503.75",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,04/10/2025,,AS010564,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"1,290,330.00",,"1,290,330.00",,0.00,,,,,,0.00
,,,,Invoice,,04/18/2025,,AS010570,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"687,940.00",,"1,978,270.00",,0.00,,,,,,0.00
,,,,Payment,,05/20/2025,,473965,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-1,290,330.00",,"687,940.00",,0.00,,,,,,0.00
,,,,Payment,,06/03/2025,,474023,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-687,940.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,12/18/2025,,AS010974,,,,,,Accounts Receivable,,Mnt,,A,,Paid,,,,,,,,"533,360.00",,"533,360.00",,0.00,,,,,,0.00
,,,,Payment,,02/03/2026,,646124,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-533,360.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/30/2026,,AS011125,,,,,,Accounts Receivable,,,,A,,Unpaid,,,,31,,,,"686,981.25",,"686,981.25",,0.00,,,,,,0.00
,Total Data Management Systems (Pvt) Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,"-286,284.75",,"686,981.25",,0.00,,,,,,
,Datalink Solutions (PVT) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Datalink Solutions (PVT) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,DATAVERSE IT SOLUTIONS (PVT)LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,10/15/2024,,AS010313,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"33,480.00",,"33,480.00",,0.00,,,,,,0.00
,,,,Payment,,10/15/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-33,480.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,11/04/2024,,AS010335,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"140,000.00",,"140,000.00",,0.00,,,,,,0.00
,,,,Payment,,11/04/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-140,000.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,11/22/2024,,AS010363,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"19,000.00",,"19,000.00",,0.00,,,,,,0.00
,,,,Payment,,11/22/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-19,000.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,11/21/2025,,AS010922,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"93,000.00",,"93,000.00",,0.00,,,,,,0.00
,,,,Payment,,11/21/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-93,000.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,02/02/2026,,AS011042,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"67,850.00",,"67,850.00",,0.00,,,,,,0.00
,,,,Payment,,02/02/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-67,850.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,02/20/2026,,AS011072,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"26,500.00",,"26,500.00",,0.00,,,,,,0.00
,,,,Payment,,02/20/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-26,500.00",,0.00,,0.00,,,,,,0.00
,Total DATAVERSE IT SOLUTIONS (PVT)LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Debug Computer Peripherals (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,01/23/2025,,AS010448,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"441,320.00",,"441,320.00",,0.00,,,,,,0.00
,,,,Invoice,,01/31/2025,,AS010465,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"927,480.00",,"1,368,800.00",,0.00,,,,,,0.00
,,,,Invoice,,02/19/2025,,AS010492,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"896,800.00",,"2,265,600.00",,0.00,,,,,,0.00
,,,,Invoice,,03/28/2025,,AS010547,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"329,220.00",,"2,594,820.00",,0.00,,,,,,0.00
,,,,Payment,,04/30/2025,,944337,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-441,320.00",,"2,153,500.00",,0.00,,,,,,0.00
,,,,Payment,,05/26/2025,,951401,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-927,480.00",,"1,226,020.00",,0.00,,,,,,0.00
,,,,Payment,,06/18/2025,,951483,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-896,800.00",,"329,220.00",,0.00,,,,,,0.00
,,,,Payment,,07/22/2025,,384528,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-329,220.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,08/19/2025,,AS010765,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"32,686.00",,"32,686.00",,0.00,,,,,,0.00
,,,,Payment,,10/16/2025,,385528,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-32,686.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,10/21/2025,,AS010859,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"41,536.00",,"41,536.00",,0.00,,,,,,0.00
,,,,Invoice,,11/13/2025,,AS010899,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"21,830.00",,"63,366.00",,0.00,,,,,,0.00
,,,,Payment,,12/01/2025,,386144,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-41,536.00",,"21,830.00",,0.00,,,,,,0.00
,,,,Invoice,,12/09/2025,,AS010958,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"1,236,640.00",,"1,258,470.00",,0.00,,,,,,0.00
,,,,Invoice,,12/18/2025,,AS010972,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"48,380.00",,"1,306,850.00",,0.00,,,,,,0.00
,,,,Invoice,,12/24/2025,,AS010985,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"164,020.00",,"1,470,870.00",,0.00,,,,,,0.00
,,,,Invoice,,01/09/2026,,AS011004,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"915,680.00",,"2,386,550.00",,0.00,,,,,,0.00
,,,,Payment,,01/21/2026,,386367,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-21,830.00",,"2,364,720.00",,0.00,,,,,,0.00
,,,,Payment,,02/03/2026,,386629,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-48,380.00",,"2,316,340.00",,0.00,,,,,,0.00
,,,,Payment,,02/25/2026,,386599,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-1,236,640.00",,"1,079,700.00",,0.00,,,,,,0.00
,,,,Invoice,,03/13/2026,,AS011096,,,,,,Accounts Receivable,,Sal:RS,,AD,,Unpaid,,,,48,,,,"21,240.00",,"1,100,940.00",,0.00,,,,,,0.00
,,,,Payment,,03/20/2026,,386724,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-164,020.00",,"936,920.00",,0.00,,,,,,0.00
,,,,Payment,,04/16/2026,,386721,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-915,680.00",,"21,240.00",,0.00,,,,,,0.00
,Total Debug Computer Peripherals (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,240.00",,"21,240.00",,0.00,,,,,,
,Delmage Forsyth & Co. Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Delmage Forsyth & Co. Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Denipitiya Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"170,000.00",,,,,,,,
,Total Denipitiya Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"170,000.00",,0.00,,,,,,
,Derana Macroentertainment Pvt. Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,03/28/2025,,AS010550,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"2,579,480.00",,"2,579,480.00",,0.00,,,,,,0.00
,,,,Payment,,05/30/2025,,842936,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-2,579,480.00",,0.00,,0.00,,,,,,0.00
,Total Derana Macroentertainment Pvt. Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,DEZiGN INTELLIGENCE (PVT)LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,12/20/2024,,AS010406,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"113,280.00",,"113,280.00",,0.00,,,,,,0.00
,,,,Payment,,12/23/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-113,280.00",,0.00,,0.00,,,,,,0.00
,Total DEZiGN INTELLIGENCE (PVT)LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Dialog Broadband Networks (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,12/09/2024,,AS010385,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"2,944,100.00",,"2,944,100.00",,0.00,,,,,,0.00
,,,,Payment,,01/28/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-2,944,100.00",,0.00,,0.00,,,,,,0.00
,Total Dialog Broadband Networks (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Dilru Production (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,03/30/2026,,AS011130,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"26,550.00",,"26,550.00",,0.00,,,,,,0.00
,,,,Payment,,03/30/2026,,Cash,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-26,550.00",,0.00,,0.00,,,,,,0.00
,Total Dilru Production (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Dipped Products PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Dipped Products PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,DMS Electronics (Pvt) Ltd Division 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,01/29/2026,,AS011035,,,,,,Accounts Receivable,,,,A,,Paid,,,,,,,,"758,666.25",,"758,666.25",,0.00,,,,,,0.00
,,,,Payment,,01/29/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-758,666.25",,0.00,,0.00,,,,,,0.00
,Total DMS Electronics (Pvt) Ltd Division 02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,DOT INK (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,11/03/2025,,AS010887,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"263,140.00",,"263,140.00",,0.00,,,,,,0.00
,,,,Payment,,12/23/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-263,140.00",,0.00,,0.00,,,,,,0.00
,Total DOT INK (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,DPL Holdings Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total DPL Holdings Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Dr. Chinthaka Jayakody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
