,,,,Type,,Date,,Num,,Item,,Item Description,,Account,,Class,,Rep,,Paid,,Pay Meth,,Aging,,Qty,,Amount,,Balance,,Avg Days to Pay,,Paid Date,,Pay Period,,Amount Paid
,,,,Invoice,,08/12/2024,,AS010248,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"423,620.00",,"423,620.00",,0.00,,,,,,0.00
,,,,Payment,,09/05/2024,,960400,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-423,620.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,05/19/2025,,AS010605,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"146,320.00",,"146,320.00",,0.00,,,,,,0.00
,,,,Payment,,07/07/2025,,520278,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-146,320.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,09/12/2025,,AS010801,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"1,249,620.00",,"1,249,620.00",,0.00,,,,,,0.00
,,,,Payment,,10/14/2025,,544882,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-1,249,620.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,04/29/2026,,AS011170,,,,,,Accounts Receivable,,,,AD,,Unpaid,,,,1,,,,"129,800.00",,"129,800.00",,0.00,,,,,,0.00
,Total ABC Computers,,,,,,,,,,,,,,,,,,,,,,,,,,,"129,800.00",,"129,800.00",,0.00,,,,,,
,Abercrombie & Kent (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Abercrombie & Kent (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Abeygunawardene Associates (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,05/02/2024,,AS010117,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"58,000.00",,"58,000.00",,0.00,,,,,,0.00
,,,,Payment,,05/03/2024,,052630,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-58,000.00",,0.00,,0.00,,,,,,0.00
,Total Abeygunawardene Associates (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,ABSOLUTE BUSINESS SOLUTIONS ( PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,02/26/2025,,AS010504,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"2,000.00",,0.00,,,,,,0.00
,,,,Payment,,02/26/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-2,000.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/21/2025,,AS010533,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"2,000.00",,0.00,,,,,,0.00
,,,,Invoice,,03/24/2025,,AS010539,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"4,000.00",,0.00,,,,,,0.00
,,,,Payment,,03/24/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-2,000.00",,"2,000.00",,0.00,,,,,,0.00
,,,,Invoice,,04/21/2025,,AS010571,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"4,000.00",,0.00,,,,,,0.00
,,,,Invoice,,04/21/2025,,AS010572,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"6,000.00",,0.00,,,,,,0.00
,,,,Payment,,04/22/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-4,000.00",,"2,000.00",,0.00,,,,,,0.00
