Type,Date,Num,Name,Item,Account,Rep,Sales Tax Code,Qty,Sales Price,Amount
Invoice,01/09/2026,AS011005,Barclays Computers (Pvt) Ltd,BDCOM:S1000-8P2F (BDCOM POE S1000-8P2F  8Port 100M Switch),BDCOM,AR,Taxable Sales,2.00,"7,000.00","14,000.00"
Invoice,01/09/2026,AS011006,Mr. Nirosh (Rayfor),BDCOM:WAP2100-T618 (BDCOM WAP2100-T618),BDCOM,AR,Non-Taxable Sales,2.00,"26,500.00","53,000.00"
Invoice,01/09/2026,AS011007,Mr. Nipun Dissanayake,BDCOM:WAP2100-T512 (BDCOM WAP2100-T512),BDCOM,AR,Non-Taxable Sales,2.00,"20,532.00","41,064.00"
Invoice,01/12/2026,AS011008,E Con Network (Pvt) Ltd,HDD:HAT3310-16T (Synology 16TB Plus HDD),Hard Drive,AR,Taxable Sales,3.00,"169,000.00","507,000.00"
Invoice,01/12/2026,AS011009,Rapidventure (Pvt) Ltd,BDCOM:GSFP-SX-D,BDCOM,AD,Taxable Sales,2.00,"4,000.00","8,000.00"
Invoice,01/13/2026,AS011010,X Press Solutions (Mr. Irfan),PC,Hardware,AS,Taxable Sales,1.00,"180,000.00","180,000.00"
Invoice,01/13/2026,AS011011,MTV Channel (Pvt) Ltd,Rental,Other Sales,AS,Taxable Sales,2.00,"275,000.00","550,000.00"
Invoice,01/13/2026,AS011012,MTV Channel (Pvt) Ltd,Rental,Other Sales,AS,Taxable Sales,2.00,"275,000.00","550,000.00"
Invoice,01/14/2026,AS011013,Sevenx Lanka (Pvt) Ltd,BDCOM:S1508E,BDCOM,AD,Taxable Sales,2.00,"5,500.00","11,000.00"
Invoice,01/14/2026,AS011014,TechCERT,Acronis,Acronics,AS,Taxable Sales,1.00,"20,480.00","20,480.00"
Invoice,01/14/2026,AS011014,TechCERT,Acronis,Acronics,AS,Taxable Sales,2.00,"25,600.00","51,200.00"
Invoice,01/16/2026,AS011015,Barclays Computers (Pvt) Ltd,Synology:DS423 (Synology DS423 4 Bay NAS),Synology,AS,Taxable Sales,2.00,"133,347.50","266,695.00"
Invoice,01/21/2026,AS011016,E-Net Integrated Solutions (Pvt) Ltd,BDCOM:S1500-24T (BDCOM S1500-24T Switch),BDCOM,AR,Non-Taxable Sales,2.00,"23,750.00","47,500.00"
Invoice,01/21/2026,AS011017,T&D Associates,RAM,Hardware,AD,Non-Taxable Sales,1.00,"47,200.00","47,200.00"
Invoice,01/21/2026,AS011018,LANKA COMMODITY BROKERS LTD,Services,Support and Maintenance,AS,Taxable Sales,1.00,"6,949.31","6,949.31"
Invoice,01/21/2026,AS011019,LANKA COMMODITY BROKERS LTD,Host Email,Support and Maintenance,AS,Taxable Sales,1.00,"19,068.37","19,068.37"
Invoice,01/21/2026,AS011020,LANKA MOUNT CASTLE (PVT) LTD,Host Email,Support and Maintenance,AS,Taxable Sales,1.00,"15,637.50","15,637.50"
Invoice,01/21/2026,AS011021,AL - ARAF HOTELS & RESORT (PVT) LTD,Hosting (Hosting),Support and Maintenance,AS,Taxable Sales,1.00,"3,127.50","3,127.50"
Invoice,01/21/2026,AS011022,ABSOLUTE BUSINESS SOLUTIONS ( PVT) LTD,Acronis,Acronics,SM,Non-Taxable Sales,1.00,"2,000.00","2,000.00"
Invoice,01/21/2026,AS011023,ABSOLUTE BUSINESS SOLUTIONS ( PVT) LTD,Acronis,Acronics,SM,Non-Taxable Sales,1.00,"2,000.00","2,000.00"
Invoice,01/21/2026,AS011024,Wiscom Information Technology (Pvt) Ltd,Acronis,Acronics,SM,Non-Taxable Sales,1.00,"12,500.00","12,500.00"
Invoice,01/22/2026,AS011025,Office Network (Pvt) Ltd,Synology:RS1221RP+,Synology,A,Taxable Sales,1.00,"1,772,887.50","1,772,887.50"
Invoice,01/22/2026,AS011025,Office Network (Pvt) Ltd,HDD:HAT3310-16T (Synology 16TB Plus HDD),Hard Drive,A,Taxable Sales,6.00,,
Invoice,01/22/2026,AS011025,Office Network (Pvt) Ltd,Synology:2 U Sliding Rail Kit,Synology,A,Taxable Sales,1.00,,
Invoice,01/22/2026,AS011026,Tekki (Pvt) Ltd,Rental,Other Sales,AS,Non-Taxable Sales,10.00,"2,360.00","23,600.00"
Invoice,01/22/2026,AS011027,M.A Sirimal Die Cutter Makers,Services,Support and Maintenance,AD,Non-Taxable Sales,1.00,"7,500.00","7,500.00"
Invoice,01/22/2026,AS011028,Rangiri Srilanka Media Networks,HDD:4TB Ent Toshiba (4TB Enterprise Toshiba HDD),Hard Drive,AS,Taxable Sales,1.00,"67,000.00","67,000.00"
Invoice,01/22/2026,AS011029,Millennium I.T.E.S.P (Pvt) Ltd,MA (Maintenance  Agreement),Support and Maintenance,AD,Taxable Sales,1.00,"185,000.00","185,000.00"
Invoice,01/22/2026,AS011029,Millennium I.T.E.S.P (Pvt) Ltd,MA (Maintenance  Agreement),Support and Maintenance,AD,Taxable Sales,1.00,"119,000.00","119,000.00"
Invoice,01/22/2026,AS011029,Millennium I.T.E.S.P (Pvt) Ltd,Services,Support and Maintenance,AD,Taxable Sales,1.00,"61,000.00","61,000.00"
Invoice,01/22/2026,AS011029,Millennium I.T.E.S.P (Pvt) Ltd,Discount,Sales Discount,AD,Taxable Sales,,"-11,000.00","-11,000.00"
Invoice,01/22/2026,AS011029,Millennium I.T.E.S.P (Pvt) Ltd,MA (Maintenance  Agreement),Support and Maintenance,AD,Taxable Sales,1.00,"88,000.00","88,000.00"
Invoice,01/22/2026,AS011029,Millennium I.T.E.S.P (Pvt) Ltd,Services,Support and Maintenance,AD,Taxable Sales,1.00,"17,600.00","17,600.00"
Invoice,01/23/2026,AS011030,MM Trade Stationers (Pvt) Ltd.,Synology:DS1525+ (Synology DiskStation DS1525+ 5Bay NAS),Synology,AR,Taxable Sales,1.00,"260,000.00","260,000.00"
Invoice,01/28/2026,AS011031,CNMS Holdings (Pvt) Ltd,Draytek:Vigor 2927 (Draytek Vigor 2927 Security Appliance. Dual Wan),Draytek,AD,Taxable Sales,1.00,"64,000.00","64,000.00"
Invoice,01/28/2026,AS011031,CNMS Holdings (Pvt) Ltd,Implementation & configuration,Support and Maintenance,AD,Taxable Sales,1.00,"15,000.00","15,000.00"
Invoice,01/28/2026,AS011032,Barclays Computers (Pvt) Ltd,BDCOM:S1500-16T (BDCOM S1500-16T Switch),BDCOM,AR,Taxable Sales,2.00,"16,450.00","32,900.00"
Invoice,01/28/2026,AS011032,Barclays Computers (Pvt) Ltd,BDCOM:S1500-16P2S (BDCOM S1500-16P2S POE Switch),BDCOM,AR,Taxable Sales,1.00,"38,135.00","38,135.00"
Invoice,01/28/2026,AS011033,Barclays Computers (Pvt) Ltd,BDCOM:WAP2100-T618 (BDCOM WAP2100-T618),BDCOM,AR,Taxable Sales,2.00,"22,000.00","44,000.00"
Invoice,01/29/2026,AS011034,MARS Network (Pvt) Ltd,Synology:DS223 (Synology Diskstation DS223  2Bay),Synology,A,Taxable Sales,1.00,"91,000.00","91,000.00"
Invoice,01/29/2026,AS011034,MARS Network (Pvt) Ltd,HDD:HAT3300-4T (Synology 4TB Plus HDD),Hard Drive,A,Taxable Sales,2.00,"54,000.00","108,000.00"
Invoice,01/29/2026,AS011035,DMS Electronics (Pvt) Ltd Division 02,Synology:RS822RP+ (Synology Rackstation RS822RP+),Synology,A,Taxable Sales,1.00,"635,000.00","635,000.00"
Invoice,01/29/2026,AS011035,DMS Electronics (Pvt) Ltd Division 02,HDD:HAT3300-4T (Synology 4TB Plus HDD),Hard Drive,A,Taxable Sales,3.00,,
Invoice,01/29/2026,AS011035,DMS Electronics (Pvt) Ltd Division 02,Synology:1 U Fixed Rail Kit,Synology,A,Taxable Sales,1.00,,
Invoice,01/29/2026,AS011036,Network Information Technologies (Pvt) Lt,MA (Maintenance  Agreement),Support and Maintenance,AS,Taxable Sales,1.00,"94,000.00","94,000.00"
Invoice,01/29/2026,AS011037,Softlogic Information Technologies (Pvt),SA3410 (Synology Rack Station SA3410 12 Bay),Synology,A,Taxable Sales,1.00,"2,396,587.50","2,396,587.50"
Invoice,01/29/2026,AS011037,Softlogic Information Technologies (Pvt),HDD:HAT5300-12T (Synology 12TB Enterprise Hard Drive),Hard Drive,A,Taxable Sales,8.00,"194,400.00","1,555,200.00"
Invoice,01/29/2026,AS011037,Softlogic Information Technologies (Pvt),960G SATA SSD Synology (Synology 960GB SATA SSD - SAT-5221 960G),Hard Drive,A,Taxable Sales,2.00,"105,300.00","210,600.00"
Invoice,01/29/2026,AS011037,Softlogic Information Technologies (Pvt),Synology:Dual Port F2 Card,Synology,A,Taxable Sales,1.00,,
Invoice,01/29/2026,AS011037,Softlogic Information Technologies (Pvt),SFP+ M/M 10G (BDCOM SFP + Multi mode 10G 300M Transceiver),BDCOM,A,Taxable Sales,4.00,"16,000.00","64,000.00"
Invoice,01/29/2026,AS011037,Softlogic Information Technologies (Pvt),Accs (Accessories),Hardware,A,Taxable Sales,4.00,"6,500.00","26,000.00"
Invoice,01/29/2026,AS011037,Softlogic Information Technologies (Pvt),Accs (Accessories),Hardware,A,Taxable Sales,2.00,"7,200.00","14,400.00"
