,,,Trans #,,Type,,Date,,Num,,Name,,Memo,,Due Date,,Paid Through,,Item,,Item Description,,Account,,Class,,Rep,,Sales Tax Code,,Clr,,Split,,Paid,,Pay Meth,,Aging,,Qty,,Sales Price,,Amount,,Balance,,Account Type,,Avg Days to Pay,,Paid Date,,Check #,,Paycheck Date,,Pay Period,,Amount Paid
"Dec 31, '23 - Mar 31, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"7,146",,Invoice,,01/26/2024,,AS010031,,LANKA MOUNT CASTLE (PVT) LTD,,20GB Storage Capacity with 30 Email Accounts,,01/26/2024,,,,Host Email,,,,Support and Maintenance,,Mnt,,AS,,Taxable Sales,,,,Accounts Receivable,,Unpaid,,,,825,,1.00,,"16,075.00",,"16,075.00",,"2,231,976.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,147",,Invoice,,01/26/2024,,AS010032,,GP Garments (Pvt) Ltd,,NAS Troubleshooting Charges,,01/26/2024,,,,Labour Charges,,,,Support and Maintenance,,Sal:EC,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"4,500.00",,"4,500.00",,"2,236,476.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,150",,Invoice,,01/29/2024,,AS010033,,Apex Business Solutions PVT Ltd.,,BDCOM MM 1G SFP transceiver (GSFP-SX-D),,01/29/2024,,,,BDCOM:GSFP-SX-D,,,,BDCOM,,Sal:RS,,AD,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,2.00,,"7,300.00",,"14,600.00",,"2,251,076.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,151",,Invoice,,01/29/2024,,AS010034,,Micro Solutions Information Systems (Pvt),,Synology RackStation RS1221RP+ (8 Bay with 16GB RAM ),,01/29/2024,,,,Synology:RS1221RP+,,,,Synology,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"675,000.00",,"675,000.00",,"2,926,076.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,151",,Invoice,,01/29/2024,,AS010034,,Micro Solutions Information Systems (Pvt),,Synology 8TB NAS Hard Drive,,01/29/2024,,,,HDD:HAT3310-8T (Synology 8TB Plus Hard Drive),,Synology 8TB Plus Hard Drive,,Hard Drive,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,4.00,,"85,400.00",,"341,600.00",,"3,267,676.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,151",,Invoice,,01/29/2024,,AS010034,,Micro Solutions Information Systems (Pvt),,Dual Port 10G SFP+ Adapter Card (E10G21-F2),,01/29/2024,,,,Synology:Dual Port F2 Card,,,,Synology,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"82,000.00",,"82,000.00",,"3,349,676.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,151",,Invoice,,01/29/2024,,AS010034,,Micro Solutions Information Systems (Pvt),,2U Rail Kit,,01/29/2024,,,,Synology:2 U Sliding Rail Kit,,,,Synology,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"60,000.00",,"60,000.00",,"3,409,676.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,156",,Invoice,,01/30/2024,,AS010035,,JAY JAY MILLS LANKA (PVT) LTD,,TP Link Deco (3Pack) mesh AP Set,,01/30/2024,,,,Accs (Accessories),,Accessories,,Hardware,,Sal:EC,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,2.00,,"109,000.00",,"218,000.00",,"3,627,676.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,172",,Invoice,,01/31/2024,,AS010036,,Geoinformatics International (Pvt.) Ltd.,,NAS Services Charges,,01/31/2024,,,,Labour Charges,,,,Support and Maintenance,,Sal:EC,,AD,,Non-Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"7,500.00",,"7,500.00",,"3,635,176.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,173",,Invoice,,01/31/2024,,AS010037,,UGA Escapes Management (Pvt) Ltd,,Draytek Troubleshooting,,01/31/2024,,,,Labour Charges,,,,Support and Maintenance,,Sal:EC,,AD,,Non-Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"8,850.00",,"8,850.00",,"3,644,026.79",,Income,,0.00,,,,,,,,,,0.00
