CustomerName,InvoiceNum,PaymentDate,ReferenceNum,Amount,PaymentMethod,DepositToAccount,Memo,UnusedPayment
LANKA COMMODITY BROKERS LTD,AS004012,2009-04-27,751441,17766.00,Check,Undeposited Funds,,0.00
JAY JAY MILLS LANKA (PVT) LTD,AS004002,2009-04-27,000000,173960.00,Check,Undeposited Funds,,0.00
KIDS UNLIMITED,AS004003,2009-05-15,,3360.00,Cash,Undeposited Funds,,0.00
CHRISTIAN AID,AS004006,2009-05-15,000000,4300.00,Check,Undeposited Funds,,0.00
STONE N STRING (PVT) LTD,AS004027,2009-05-15,,1900.00,Cash,Undeposited Funds,,0.00
EXPRESS NEWSPAPERS (CEYLON) LTD,AS004035,2009-05-16,145295,104975.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004005,2009-05-19,000000,1680.00,Check,Undeposited Funds,part payment of Chq,0.00
N.S.H. KARANNAGODA,AS004037,2009-05-22,,13750.00,Check,Undeposited Funds,Direct Deposit,0.00
LITHITECH ADVANCE SOLUTIONS,AS004043,2009-05-28,479550,14000.00,Check,Undeposited Funds,PD 28-06-09,0.00
DENSHUN INDUSTRIES LTD,AS004021,2009-06-02,003851,1500.00,Check,Undeposited Funds,,0.00
KIDS UNLIMITED,AS004028,2009-06-04,,3360.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004013,2009-06-04,218138,969500.00,Check,Undeposited Funds,,0.00
STONE N STRING (PVT) LTD,AS004042,2009-06-06,189629,73950.00,Check,Undeposited Funds,,0.00
CASH SALE,AS004067,2009-06-11,996375,1000.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004045,2009-06-17,received,6160.00,Check,Undeposited Funds,,0.00
AssetLine,AS004038,2009-06-18,,77500.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004032,2009-06-22,221477,69300.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004004,2009-06-24,141025,6160.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004008,2009-06-24,141025,2240.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004019,2009-06-24,141025,2240.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004022,2009-06-24,,18446.40,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004034,2009-06-24,,14560.00,Check,Undeposited Funds,,0.00
LITHITECH ADVANCE SOLUTIONS,AS004010,2009-06-24,,2000.00,Cash,Undeposited Funds,,0.00
N.S.H. KARANNAGODA,AS004073,2009-06-24,,8250.00,Cash,Undeposited Funds,Direct deposit,0.00
Patrick Wicramasinghe,AS004072,2009-06-24,,3000.00,Cash,Undeposited Funds,,0.00
FCCISL,AS004029,2009-06-24,869058,117500.00,Check,Undeposited Funds,1.5% Wht Deducted,0.00
DFCC BANK,AS004040,2009-06-24,337320,52500.00,Check,Undeposited Funds,,0.00
LANKA MOUNT CASTLE (PVT) LTD,AS004011,2009-06-26,001837,7840.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004051,2009-06-26,received,17766.00,Check,Undeposited Funds,,0.00
STONE N STRING (PVT) LTD,AS004044,2009-06-29,972759,73950.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS004041,2009-06-29,247113,14000.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004062,2009-06-29,,2240.00,Cash,Undeposited Funds,,0.00
MUSLIM AID,AS004063,2009-06-29,,2240.00,Cash,Undeposited Funds,,0.00
EXPRESS NEWSPAPERS (CEYLON) LTD,AS004035,2009-07-01,145647,104975.00,Check,Undeposited Funds,,0.00
CARITAS,AS004071,2009-07-01,817023,160000.00,Check,Undeposited Funds,,0.00
CHRISTIAN AID,AS004018,2009-07-01,931229,4480.00,Check,Undeposited Funds,7038-001,0.00
CHRISTIAN AID,AS004046,2009-07-01,931229,6720.00,Check,Undeposited Funds,7038-001,0.00
CHRISTIAN AID,AS004074,2009-07-01,931229,4480.00,Check,Undeposited Funds,7038-001,0.00
STATEMAN HATS (Pvt) LTD.,AS004007,2009-07-06,623367,2240.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004009,2009-07-06,623367,2240.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004015,2009-07-06,623367,49900.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004016,2009-07-06,623367,2240.00,Check,Undeposited Funds,,0.00
PRETEC SYSTEMS,AS004033,2009-07-07,106287,13750.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004088,2009-07-21,cash chq,571144.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004024,2009-07-31,623496,2240.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004025,2009-07-31,623496,2240.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004030,2009-07-31,623496,27216.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004031,2009-07-31,623496,2600.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004036,2009-07-31,623496,6720.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004039,2009-07-31,623496,54432.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS004017,2009-07-31,257141,2240.00,Check,Undeposited Funds,,0.00
TYRE HOUSE TRADING (PVT) LTD,AS004081,2009-07-31,791705,3360.00,Check,Undeposited Funds,,0.00
TYRE HOUSE TRADING (PVT) LTD,AS004089,2009-07-31,791665,36848.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004056,2009-07-31,762928,3080.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004085,2009-07-31,763014,17766.00,Check,Undeposited Funds,,0.00
ZEOS SOLUTIONS,AS004084,2009-07-31,589973,4256.00,Check,Undeposited Funds,,0.00
KIDS UNLIMITED,AS004069,2009-07-31,,3360.00,Cash,Undeposited Funds,,0.00
Shipping & Cargo Logistics Pvt Ltd.,AS004092,2009-08-04,462156,57170.00,Check,Undeposited Funds,,0.00
"Spence Shipping Pvt Ltd.,",AS004093,2009-08-04,364200,57170.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004104,2009-08-04,763127,26000.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004105,2009-08-04,763127,5320.00,Check,Undeposited Funds,,0.00
MACSON MESH,AS004097,2009-08-04,649982,28000.00,Check,Undeposited Funds,,0.00
CHRISTIAN AID,AS004106,2009-08-24,290615,26880.00,Check,Undeposited Funds,,0.00
CHRISTIAN AID,AS004108,2009-08-24,290615,1120.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004115,2009-08-24,763241,17766.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004094,2009-08-24,753240,1500.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004100,2009-08-24,753240,1500.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004090,2009-08-24,763242,43675.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004091,2009-08-24,763242,10640.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004098,2009-08-27,234327,138600.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004099,2009-08-27,234327,134442.00,Check,Undeposited Funds,,0.00
State Bank of India.,AS004132,2009-08-27,876568,1900.00,Check,Undeposited Funds,,0.00
UNION ASSURANCE PLC,AS004116,2009-08-27,,98007.50,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004048,2009-09-09,783851,7325.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004049,2009-09-09,783851,4480.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004053,2009-09-09,783851,22176.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004054,2009-09-09,783851,14784.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004055,2009-09-09,783851,32928.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004057,2009-09-09,783851,11648.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004064,2009-09-09,783851,2240.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004065,2009-09-09,783851,4480.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004070,2009-09-09,783851,21952.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004078,2009-09-09,783851,6720.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004079,2009-09-09,783851,22400.00,Check,Undeposited Funds,,0.00
LANKA MOUNT CASTLE (PVT) LTD,AS004023,2009-09-09,paid,7840.00,Check,Undeposited Funds,,0.00
LANKA MOUNT CASTLE (PVT) LTD,AS004052,2009-09-09,paid,7840.00,Check,Undeposited Funds,,0.00
KAIZA HOLDINGS (PVT) LTD,AS004133,2009-09-09,761989,60350.00,Check,Undeposited Funds,,0.00
KAIZA HOLDINGS (PVT) LTD,AS004134,2009-09-09,761989,5264.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004119,2009-09-09,237487,207900.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004120,2009-09-09,237487,133402.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004122,2009-09-09,237489,68260.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004123,2009-09-09,237490,68260.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004121,2009-09-09,237488,68260.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004127,2009-09-10,,68260.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004129,2009-09-10,,136521.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004125,2009-09-10,,68260.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004131,2009-09-10,,68260.50,Check,Undeposited Funds,,0.00
KIDS UNLIMITED,AS004096,2009-09-15,paid,3360.00,Check,Undeposited Funds,,0.00
KIDS UNLIMITED,AS004124,2009-09-15,paid,3360.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004130,2009-09-15,,68260.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004128,2009-09-15,,68260.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004126,2009-09-15,,68260.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004136,2009-09-16,,68260.50,Check,Undeposited Funds,,0.00
DFCC BANK,AS004118,2009-09-17,005813,126420.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004137,2009-10-05,,5824.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004138,2009-10-05,,20000.00,Check,Undeposited Funds,,0.00
Softwave Pvt Ltd,AS004167,2009-10-06,975950,99500.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS004109,2009-10-07,257560,2000.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS004139,2009-10-07,257560,56950.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS004140,2009-10-07,257560,10640.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS004146,2009-10-07,257560,2240.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS004149,2009-10-07,257560,2240.00,Check,Undeposited Funds,,0.00
LANKA MOUNT CASTLE (PVT) LTD,AS004086,2009-10-07,002384,7840.00,Check,Undeposited Funds,,0.00
KIDS UNLIMITED,AS004163,2009-10-07,,3360.00,Cash,Undeposited Funds,,0.00
MUSLIM AID,AS004141,2009-10-07,434602,2240.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004158,2009-10-07,434602,3360.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004159,2009-10-07,434602,1680.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004087,2009-10-21,784027,25872.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004101,2009-10-21,784027,55440.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004102,2009-10-21,784027,10000.00,Check,Undeposited Funds,,0.00
SHADIR,AS004075,2009-10-21,,1000.00,Check,Undeposited Funds,,0.00
MACSON MESH,AS004154,2009-10-21,773883,2240.00,Check,Undeposited Funds,,0.00
MACSON MESH,AS004178,2009-10-21,773883,16800.00,Check,Undeposited Funds,,0.00
LANKA TILES,AS004160,2009-10-21,741066,97022.50,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004165,2009-10-21,,17766.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004080,2009-10-27,216308,2240.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004110,2009-10-27,216308,5600.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004111,2009-10-27,216308,2240.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004112,2009-10-27,216308,5040.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004147,2009-10-27,216308,2240.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004152,2009-10-27,216308,1120.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004050,2009-10-27,190271,7840.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004058,2009-10-27,190271,9632.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004061,2009-10-27,190271,3080.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004066,2009-10-27,190271,2004.80,Check,Undeposited Funds,,0.00
N.S.H. KARANNAGODA,AS004193,2009-10-30,,13750.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004059,2009-11-18,803111,4636.80,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004060,2009-11-18,803111,3304.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004077,2009-11-18,434699,3360.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004095,2009-11-18,434699,6160.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004107,2009-11-18,434699,3360.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004171,2009-11-18,434699,4480.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004174,2009-11-18,434699,2240.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004169,2009-11-18,00000,8108.80,Check,Undeposited Funds,,0.00
Estella - Sherwood,AS004192,2009-11-18,689806,87600.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004114,2009-11-30,,14784.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004142,2009-11-30,,4480.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004145,2009-11-30,,2240.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004148,2009-11-30,,5600.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004155,2009-11-30,,5040.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004156,2009-11-30,,1680.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004161,2009-11-30,,4250.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004164,2009-11-30,,14304.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004162,2009-11-30,,44744.00,Check,Undeposited Funds,,0.00
State Bank of India.,AS004223,2009-12-04,877785,160000.00,Check,Undeposited Funds,,0.00
MACSON MESH,AS004194,2009-12-04,774157,1680.00,Check,Undeposited Funds,,0.00
MACSON MESH,AS004214,2009-12-04,774157,57120.00,Check,Undeposited Funds,,0.00
MACSON MESH,AS004216,2009-12-04,774157,8960.00,Check,Undeposited Funds,,0.00
CHRISTIAN AID,AS004150,2009-12-04,290707,2240.00,Check,Undeposited Funds,,0.00
CHRISTIAN AID,AS004195,2009-12-04,290707,13000.00,Check,Undeposited Funds,,0.00
CHRISTIAN AID,AS004196,2009-12-04,290707,7500.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004179,2009-12-04,795586,1500.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004217,2009-12-07,795621,16800.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004218,2009-12-07,795621,9576.00,Check,Undeposited Funds,,0.00
TYRE HOUSE TRADING (PVT) LTD,AS004215,2009-12-08,439601,4950.00,Check,Undeposited Funds,,0.00
UNION ASSURANCE PLC,AS004224,2009-12-15,629237,15582.00,Check,Undeposited Funds,,0.00
UNION ASSURANCE PLC,AS004224,2009-12-15,629103,335118.00,Check,Undeposited Funds,,0.00
UNION ASSURANCE PLC,AS004225,2009-12-15,629103,87822.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004170,2009-12-16,,14560.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004173,2009-12-16,,2240.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004177,2009-12-16,,14784.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004180,2009-12-16,,5600.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004185,2009-12-16,,48000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004186,2009-12-16,,5040.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004187,2009-12-16,,6160.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004188,2009-12-16,,17091.20,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004189,2009-12-16,,19891.20,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004190,2009-12-16,,48720.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS004208,2009-12-16,,2240.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004175,2009-12-27,,17766.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004219,2009-12-27,,1500.00,Check,Undeposited Funds,,0.00
KAIZA HOLDINGS (PVT) LTD,AS004182,2009-12-27,,48900.00,Check,Undeposited Funds,,0.00
KAIZA HOLDINGS (PVT) LTD,AS004183,2009-12-27,,5040.00,Check,Undeposited Funds,,0.00
Patrick Wicramasinghe,AS004083,2009-12-27,,3500.00,Check,Undeposited Funds,,0.00
Mr.D.Sivanandan,AS004135,2009-12-27,,21000.00,Check,Undeposited Funds,,0.00
DENSHUN INDUSTRIES LTD,AS004168,2009-12-27,,10080.00,Check,Undeposited Funds,,0.00
DILARSHAD ENTERPRISE,AS004047,2009-12-27,,2240.00,Check,Undeposited Funds,,0.00
DILARSHAD ENTERPRISE,AS004143,2009-12-27,,3360.00,Check,Undeposited Funds,,0.00
DILARSHAD ENTERPRISE,AS004144,2009-12-27,,1950.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004153,2009-12-27,,31500.00,Check,Undeposited Funds,,0.00
ZERANDIB MOTORS,AS004229,2009-12-27,,3900.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004199,2009-12-28,795722,17766.00,Check,Undeposited Funds,,0.00
LANKA MOUNT CASTLE (PVT) LTD,AS004113,2009-12-28,913993 002915 2718,7840.00,Check,Undeposited Funds,,0.00
LANKA MOUNT CASTLE (PVT) LTD,AS004176,2009-12-28,913993 002915 2718,7840.00,Check,Undeposited Funds,,0.00
LANKA MOUNT CASTLE (PVT) LTD,AS004198,2009-12-28,913993 002915 2718,7840.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004099,2010-01-02,WHT,4158.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004120,2010-01-02,WHT,5197.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004121,2010-01-02,WHT,1039.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004122,2010-01-02,WHT,1039.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004123,2010-01-02,WHT,1039.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004125,2010-01-02,WHT,1039.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004126,2010-01-02,WHT,1039.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004127,2010-01-02,WHT,1039.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004128,2010-01-02,WHT,1039.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004129,2010-01-02,WHT,2079.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004130,2010-01-02,WHT,1039.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004131,2010-01-02,WHT,1039.50,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004136,2010-01-02,WHT,1039.50,Check,Undeposited Funds,,0.00
KIDS UNLIMITED,AS004181,2010-01-02,,6720.00,Check,Undeposited Funds,,0.00
KIDS UNLIMITED,AS004220,2010-01-02,,6720.00,Check,Undeposited Funds,,0.00
KIDS UNLIMITED,AS004237,2010-01-02,,6720.00,Check,Undeposited Funds,,0.00
LANKA TILES,AS004160,2010-01-02,WHT,1477.50,Check,Undeposited Funds,,0.00
Otley Printers,AS004234,2010-01-02,direct deposit,17449.60,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004222,2010-01-06,795754,1600.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004239,2010-01-06,795505,284356.80,Check,Undeposited Funds,,0.00
BENEDICTSONS (PVT) LTD,AS004231,2010-01-27,,10864.00,Check,Undeposited Funds,,0.00
FPA,AS004235,2010-01-27,,18000.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004184,2010-01-27,,28500.00,Check,Undeposited Funds,,0.00
Ranfer,AS004233,2010-01-27,,98500.00,Check,Undeposited Funds,,0.00
Sherwoods - Gayan,AS004230,2010-01-27,,22000.00,Check,Undeposited Funds,,0.00
Sujee Cafe,AS004245,2010-01-27,,3700.00,Check,Undeposited Funds,,0.00
Swarnamahal Fin. Svcs,AS004191,2010-01-27,,10080.00,Check,Undeposited Funds,,0.00
TYRE HOUSE TRADING (PVT) LTD,AS004203,2010-01-27,,5152.00,Check,Undeposited Funds,,0.00
UNION ASSURANCE PLC,AS004116,2010-01-27,WHT,1492.50,Check,Undeposited Funds,,0.00
Asiri,AS004253,2010-02-14,,285950.00,Check,Undeposited Funds,,0.00
FPA,AS004238,2010-02-14,,486950.00,Check,Undeposited Funds,,0.00
citylaps,AS004246,2010-02-14,,115000.00,Check,Undeposited Funds,,0.00
MRS. AQEELA,AS004268,2010-02-14,,57950.00,Check,Undeposited Funds,,0.00
Gestetner PS,AS004201,2010-02-14,,8960.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS004260,2010-02-17,,6720.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS004270,2010-02-17,,7168.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS004271,2010-02-17,,33000.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004240,2010-02-17,434845,5900.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004241,2010-02-17,434845,3360.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004243,2010-02-17,434845,3360.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004259,2010-02-17,434845,1680.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004275,2010-02-17,434845,16800.00,Check,Undeposited Funds,,0.00
State Bank of India.,AS004266,2010-02-23,879903,99500.00,Check,Undeposited Funds,,0.00
INSTITUTE OF CHARTERED ACCOUNTANTS OF SL,AS004200,2010-02-23,744418,20160.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004197,2010-02-23,524987,14784.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004209,2010-02-23,524987,2240.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004210,2010-02-23,524987,2240.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004227,2010-02-23,524987,14784.00,Check,Undeposited Funds,,0.00
DSI,AS004244,2010-02-25,,39950.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004205,2010-03-05,242134,8000.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004206,2010-03-05,242134,2240.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004207,2010-03-05,242134,3360.00,Check,Undeposited Funds,,0.00
CONTINENTAL FASHIONS,AS004254,2010-03-05,,34944.00,Check,Undeposited Funds,,0.00
CONTINENTAL FASHIONS,AS004276,2010-03-05,,38864.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004261,2010-03-05,274051,106600.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004262,2010-03-05,274051,106600.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004263,2010-03-05,274051,101803.00,Check,Undeposited Funds,,0.00
GP Garments,AS004247,2010-03-08,,155950.00,Check,Undeposited Funds,,0.00
