CustomerName,InvoiceNum,PaymentDate,ReferenceNum,Amount,PaymentMethod,DepositToAccount,Memo,UnusedPayment
STATEMAN HATS (Pvt) LTD.,AS005981,2016-03-11,,17200.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005988,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005989,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005990,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005991,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005992,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005993,2016-03-11,,1000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005994,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005997,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005998,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005999,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006001,2016-03-11,,4000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006008,2016-03-11,,5000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006010,2016-03-11,,80600.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006023,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006024,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006036,2016-03-11,,10000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006039,2016-03-11,,3000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006041,2016-03-11,,6000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006044,2016-03-11,,5000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006049,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006051,2016-03-11,,3000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006066,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006081,2016-03-11,,17200.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006098,2016-03-11,,17200.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006104,2016-03-11,,4000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006105,2016-03-11,,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS006112,2016-03-11,,15000.00,Check,Undeposited Funds,,0.00
Netcore Solutions,AS006100,2016-03-11,391900,31000.00,Check,Undeposited Funds,,0.00
